Date : 2022-10-30 20:24:50
Directory : /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src
Total : 87 files,  3249 codes, 83 comments, 406 blanks, all 3738 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         43 |      1,860 |         45 |        210 |      2,115 |
| JavaScript       |         30 |        783 |         27 |         94 |        904 |
| CSS              |         13 |        605 |         11 |        102 |        718 |
| XML              |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                        |         87 |      3,249 |         83 |        406 |      3,738 |
| components                                                                                                                                                                               |         39 |      1,871 |         34 |        212 |      2,117 |
| components/assessment-form                                                                                                                                                               |          2 |        106 |          1 |         14 |        121 |
| components/boolean-radio-group                                                                                                                                                           |          1 |         47 |          0 |          3 |         50 |
| components/box                                                                                                                                                                           |          1 |        112 |         21 |          3 |        136 |
| components/cards                                                                                                                                                                         |          6 |        194 |          1 |         26 |        221 |
| components/counselor-login                                                                                                                                                               |          1 |         49 |          0 |          7 |         56 |
| components/counselor-signup                                                                                                                                                              |          1 |         90 |          0 |         11 |        101 |
| components/doctor-login                                                                                                                                                                  |          1 |         49 |          0 |          4 |         53 |
| components/doctor-signup                                                                                                                                                                 |          1 |         89 |          0 |         11 |        100 |
| components/elements                                                                                                                                                                      |          3 |         24 |          0 |          3 |         27 |
| components/footer                                                                                                                                                                        |          2 |         27 |          0 |          6 |         33 |
| components/header                                                                                                                                                                        |          2 |         64 |          2 |         10 |         76 |
| components/landing-page                                                                                                                                                                  |          1 |         15 |          0 |          3 |         18 |
| components/list-of-patient                                                                                                                                                               |          2 |        172 |          0 |         12 |        184 |
| components/loading                                                                                                                                                                       |          1 |         11 |          0 |          3 |         14 |
| components/patient-home                                                                                                                                                                  |          1 |          6 |          0 |          1 |          7 |
| components/patient-info                                                                                                                                                                  |          2 |         74 |          1 |          3 |         78 |
| components/patient-login                                                                                                                                                                 |          2 |        170 |          2 |         25 |        197 |
| components/patient-signup                                                                                                                                                                |          2 |        169 |          0 |         23 |        192 |
| components/signup                                                                                                                                                                        |          2 |        202 |          0 |         26 |        228 |
| components/sub-footer                                                                                                                                                                    |          3 |        120 |          0 |         13 |        133 |
| components/view-assessment                                                                                                                                                               |          2 |         81 |          6 |          5 |         92 |
| containers                                                                                                                                                                               |         16 |        536 |         10 |         85 |        631 |
| css                                                                                                                                                                                      |          3 |         26 |          0 |         13 |         39 |
| lib                                                                                                                                                                                      |          7 |        144 |         16 |         21 |        181 |
| store                                                                                                                                                                                    |         13 |        546 |         14 |         44 |        604 |
| store/actions                                                                                                                                                                            |          5 |        267 |         11 |         13 |        291 |
| store/reducers                                                                                                                                                                           |          6 |        245 |          0 |         19 |        264 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/App.css                                                | CSS              |          0 |          0 |          1 |          1 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/App.js                                                 | JavaScript       |         38 |          0 |          6 |         44 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/App.test.js                                            | JavaScript       |          7 |          0 |          2 |          9 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/RouteGuard.js                                          | JavaScript       |         26 |          1 |          5 |         32 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/assessment-form/assessment-form.css         | CSS              |         64 |          1 |         10 |         75 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/assessment-form/assessment-form.jsx         | JavaScript React |         42 |          0 |          4 |         46 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/boolean-radio-group/boolean-radio-group.jsx | JavaScript React |         47 |          0 |          3 |         50 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/box/box.jsx                                 | JavaScript React |        112 |         21 |          3 |        136 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-content.css                      | CSS              |         60 |          1 |         14 |         75 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-content.jsx                      | JavaScript React |         23 |          0 |          1 |         24 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-image.jsx                        | JavaScript React |         30 |          0 |          2 |         32 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-otheruser.css                    | CSS              |         40 |          0 |          7 |         47 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card-otheruser.jsx                    | JavaScript React |         28 |          0 |          1 |         29 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/cards/card.jsx                              | JavaScript React |         13 |          0 |          1 |         14 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/counselor-login/counselor-login.jsx         | JavaScript React |         49 |          0 |          7 |         56 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/counselor-signup/counselor-signup.jsx       | JavaScript React |         90 |          0 |         11 |        101 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/doctor-login/doctor-login.jsx               | JavaScript React |         49 |          0 |          4 |         53 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/doctor-signup/doctor-signup.jsx             | JavaScript React |         89 |          0 |         11 |        100 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/elements/error-message.js                   | JavaScript       |          8 |          0 |          1 |          9 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/elements/prepare-message.js                 | JavaScript       |          8 |          0 |          1 |          9 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/elements/success-message.js                 | JavaScript       |          8 |          0 |          1 |          9 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/footer/footer.css                           | CSS              |         18 |          0 |          3 |         21 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/footer/footer.jsx                           | JavaScript React |          9 |          0 |          3 |         12 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/header/header.css                           | CSS              |         43 |          1 |          9 |         53 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/header/header.jsx                           | JavaScript React |         21 |          1 |          1 |         23 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/landing-page/landing-page.jsx               | JavaScript React |         15 |          0 |          3 |         18 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/list-of-patient/list-of-patient.css         | CSS              |          0 |          0 |          3 |          3 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/list-of-patient/list-of-patient.jsx         | JavaScript React |        172 |          0 |          9 |        181 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/loading/landing-page.jsx                    | JavaScript React |         11 |          0 |          3 |         14 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-home/patient-home.jsx               | JavaScript React |          6 |          0 |          1 |          7 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-info/index.css                      | CSS              |         39 |          1 |          1 |         41 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-info/index.jsx                      | JavaScript React |         35 |          0 |          2 |         37 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-login/patient-login.css             | CSS              |        121 |          2 |         21 |        144 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-login/patient-login.jsx             | JavaScript React |         49 |          0 |          4 |         53 |
| /Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/patient-signup/patient-signup.css           | CSS              |         90 |          0 |         13 |        103 |
